"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","p_val_fdr"
"38","mmu-miR-466i-5p",1060.92724810168,2.54542769389919,0.607698050670445,4.18863889902385,2.80632526487344e-05,0.000460091621110804,0.000469912952924336
"39","mmu-miR-1839-5p",2302.79308415291,-0.488601268992486,0.117383413207526,-4.16243876065071,3.14866600624609e-05,0.000489211239795275,0.000499654172664468
"40","mmu-miR-218-1-3p",67.1454607440339,-1.01361436081541,0.244117454638161,-4.15215848583144,3.29354036643781e-05,0.000489211239795275,0.000499654172664468
"41","mmu-miR-467c-5p",59.5557642099653,1.22493456149211,0.294810848939756,4.15498468220355,3.25309335172463e-05,0.000489211239795275,0.000499654172664468
"42","mmu-miR-871-3p",63.5947107889958,1.29007887957937,0.313106177450223,4.12026006668127,3.78444985744276e-05,0.0005487452293292,0.000560459002697476
"43","mmu-miR-5099",9167.18487492772,2.12768102518304,0.517755886388997,4.10942894347797,3.96638733609412e-05,0.000561751136670075,0.000573742540244313
"44","mmu-miR-1195",35.2526640862832,2.86464644034122,0.699669021907456,4.09428794279265,4.23467781430629e-05,0.000573093064202784,0.000585326577888558
"45","mmu-miR-195a-3p",779.774609452834,-0.970488241625393,0.236834369104907,-4.09775086822602,4.17183929543346e-05,0.000573093064202784,0.000585326577888558
"46","mmu-miR-483-3p",10.0407406151973,1.87592812612683,0.460339540146918,4.0750966678381,4.59952366086168e-05,0.000604875843959902,0.000617787807788274
"47","mmu-miR-503-3p",238.584888463933,0.786291898758862,0.193113924916749,4.0716478581119,4.66817153794998e-05,0.000604875843959902,0.000617787807788274
"48","mmu-miR-712-5p",30.5168631653814,2.35036635313805,0.579949494477133,4.05270868501588,5.06280289061809e-05,0.00064234311674717,0.000656054874575927
"49","mmu-miR-125a-3p",287.528903560721,-0.440921477632217,0.109244785853126,-4.03608716140479,5.43500315881195e-05,0.00064900331837578,0.000662857247996281
"50","mmu-miR-222-3p",3558.98449254038,-0.480456016603012,0.118837107869193,-4.0429797158297,5.27761879469132e-05,0.00064900331837578,0.000662857247996281
"51","mmu-miR-455-3p",1424.53476998806,-1.76278349195898,0.436384563238977,-4.03951844417931,5.35610561785247e-05,0.00064900331837578,0.000662857247996281
"52","mmu-miR-224-5p",1947.46757834059,-1.39904289661947,0.354086766873597,-3.95113013957651,7.77830106210833e-05,0.000897515600839252,0.000916674390348136
"53","mmu-miR-664-5p",209.583131186958,-0.515847490346606,0.130590019019775,-3.95012952918318,7.81089110746804e-05,0.000897515600839252,0.000916674390348136
"54","mmu-miR-125b-5p",573067.503637991,-1.29770691354816,0.329713430777754,-3.93586306292414,8.28982345326486e-05,0.000920658194537334,0.000940310996719576
"55","mmu-miR-93-5p",12168.9691254081,0.562959088544727,0.143059298697115,3.93514503196765,8.31464707710236e-05,0.000920658194537334,0.000940310996719576
"56","mmu-miR-574-3p",2084.51112445692,-1.2993639411288,0.33175446279124,-3.91664344225097,8.97903987949075e-05,0.000976470586894619,0.000997314786614866
"57","mmu-miR-21c",118.099590020442,-1.64764267159662,0.423118230720301,-3.89404793263512,9.85851563153549e-05,0.001053304564843,0.00107578889873949
"58","mmu-miR-31-5p",5078.7880310712,-1.92626040279822,0.497251001630316,-3.87381905010282,0.000107142978937833,0.00112500127884725,0.00114901608447124
"59","mmu-miR-574-5p",531.661595753371,-0.6775903226632,0.176567975118595,-3.83756070265905,0.000124262523113937,0.00126126460960646,0.00128818815628115
"60","mmu-miR-99a-3p",893.394940426923,-1.17801384033189,0.306959637641617,-3.83768318656686,0.000124200576528002,0.00126126460960646,0.00128818815628115
"61","mmu-let-7c-1-3p",294.005874632067,-0.692498978172004,0.182180779176177,-3.80116377426582,0.000144018067688613,0.0014378197249568,0.00146851210003798
"62","mmu-miR-27b-3p",1229546.27133435,-0.349741731517888,0.0927624276151596,-3.7702951562334,0.000163054591360767,0.00160161687320496,0.00163580573913544
"63","mmu-miR-129-5p",63.0163308978356,0.890861731353228,0.237094734647905,3.75740833163668,0.000171682226990166,0.00165427447510155,0.0016895873949313
"64","mmu-miR-214-5p",3154.41637351415,-1.47953240876059,0.394093360141893,-3.75426880632521,0.000173848220700327,0.00165427447510155,0.0016895873949313
"65","mmu-miR-21a-3p",9874.20977658166,1.20286125521485,0.321815739970568,3.7377328260105,0.000185687111913279,0.00173974540238749,0.00177688282477014
"66","mmu-miR-669l-5p",12.0182417340321,1.31780567953419,0.35784052190299,3.6826619649617,0.00023081113087453,0.00212975725306952,0.00217522005157511
"67","mmu-miR-100-3p",46.175607706899,-0.792719336222152,0.220286005949806,-3.59859144390125,0.000319945354045647,0.00283575609784975,0.00289628947924884
"68","mmu-miR-221-5p",634.116423173655,-0.853464237294187,0.237485509432959,-3.59375289604824,0.000325948976764339,0.00283575609784975,0.00289628947924884
"69","mmu-miR-26a-2-3p",122.768537241032,-0.747006811189384,0.207862062866559,-3.59376213671534,0.000325937411207263,0.00283575609784975,0.00289628947924884
"70","mmu-miR-676-3p",2357.29715903776,-1.02130495715791,0.283518048319628,-3.60225729265224,0.000315465893163614,0.00283575609784975,0.00289628947924884
"71","mmu-miR-142a-5p",102625.612534569,0.864731108913708,0.241421145269478,3.58183666119421,0.000341187097395462,0.00292652031427939,0.00298899119126729
"72","mmu-miR-199a-5p",109733.589576491,-1.51492431099182,0.423803162232308,-3.57459416539561,0.000350771555339787,0.0029669427389157,0.00303027649196316
"73","mmu-miR-3470a",197.27779234362,1.78190297715685,0.501319216309834,3.55442783596703,0.000378802450069713,0.00316014646701993,0.00322760443758029
"74","mmu-miR-497a-3p",110.438559012208,-1.4555823914463,0.410569735506452,-3.54527444564511,0.000392204493678436,0.0031847004886689,0.00325268260090649
"75","mmu-miR-652-3p",4055.01506567044,0.38062436530473,0.107271811683704,3.54822352051831,0.000387838938076692,0.0031847004886689,0.00325268260090649
"76","mmu-miR-3968",1745.47216563814,-0.849603967979805,0.241168562370794,-3.52286367521464,0.00042691088832844,0.00342090435515816,0.00349392858605644
"77","mmu-miR-669b-5p",57.7601364360916,1.04149697867822,0.299457935753025,3.47794082016642,0.000505281467400721,0.00399631706035116,0.00408162432108115
"78","mmu-miR-465a-3p",49.1721303822124,1.43869304078782,0.415200591486105,3.46505537392994,0.000530122313923258,0.0040355561147408,0.00412170099075333
"79","mmu-miR-465b-3p",49.1721303822124,1.43869304078782,0.415200591486105,3.46505537392994,0.000530122313923258,0.0040355561147408,0.00412170099075333
"80","mmu-miR-465c-3p",49.1721303822124,1.43869304078782,0.415200591486105,3.46505537392994,0.000530122313923258,0.0040355561147408,0.00412170099075333
