"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","p_val_fdr"
"78","mmu-miR-30e-3p",26788.4876914677,1.72300223490429,0.275383544743084,6.25673635115614,3.93117154790828e-10,3.14493723832662e-09,3.14493723832662e-09
"79","mmu-miR-185-3p",176.770825673636,1.15724601573701,0.185061933026888,6.25329043530996,4.01893734609937e-10,3.17445177717216e-09,3.17445177717216e-09
"80","mmu-miR-434-3p",9091.68142378066,-2.18945017158101,0.350970397634274,-6.23827589545746,4.42419861254172e-10,3.45087491778254e-09,3.45087491778254e-09
"81","mmu-miR-615-3p",23.7160882739543,-3.76413712659835,0.60440215233336,-6.2278685012396,4.72823652843326e-10,3.64249332560785e-09,3.64249332560785e-09
"82","mmu-miR-26b-3p",679.45621931651,0.661143240247199,0.106200777263015,6.22540867671639,4.80302360197064e-10,3.65498381418254e-09,3.65498381418254e-09
"83","mmu-miR-540-3p",340.177374915268,-3.38185942528959,0.543857526605919,-6.21828192099305,5.02627891882426e-10,3.77879282571848e-09,3.77879282571848e-09
"84","mmu-miR-494-3p",50.3760980221899,-3.48825957188546,0.563371756983155,-6.19175442973042,5.94981995017105e-10,4.4198662486985e-09,4.4198662486985e-09
"85","mmu-miR-301b-3p",65.9710982963549,-2.29152411946595,0.373972065598826,-6.12752750876359,8.92551715041869e-10,6.55237964924855e-09,6.55237964924855e-09
"86","mmu-let-7g-3p",208.49231096449,0.720634882438689,0.11833021235111,6.09003286751836,1.12887509240661e-09,8.19090764722938e-09,8.19090764722938e-09
"87","mmu-miR-1981-3p",259.815402670483,0.766206743864493,0.126531534994128,6.05546075055557,1.40016312505815e-09,1.00425493107619e-08,1.00425493107619e-08
"88","mmu-miR-342-5p",85.6420174836411,-1.07737822314891,0.178278493410682,-6.04323158973002,1.51057581399466e-09,1.07113557719621e-08,1.07113557719621e-08
"89","mmu-miR-149-3p",7.55524050031137,2.26998027604741,0.376307156569347,6.03225380229803,1.61688566787828e-09,1.13363669298432e-08,1.13363669298432e-08
