"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","p_val_fdr"
"17","mmu-miR-376a-3p",131.678421978481,2.30439628727397,0.447922562800677,5.14463096671337,2.68047201233981e-07,9.08915940639972e-06,9.08915940639972e-06
"18","mmu-miR-410-3p",3111.81358116378,2.01811277353156,0.393519058431798,5.12837365888677,2.92255929466229e-07,9.08915940639972e-06,9.08915940639972e-06
"19","mmu-miR-434-3p",9091.68142378066,1.51271245071666,0.29445456885647,5.13733733727194,2.78658483851891e-07,9.08915940639972e-06,9.08915940639972e-06
"20","mmu-miR-5121",377.283069171227,-3.75251455903089,0.727463492568436,-5.15835447052055,2.491296344036e-07,9.08915940639972e-06,9.08915940639972e-06
"21","mmu-miR-181a-1-3p",2134.61722721931,0.267519021033905,0.0524228901723194,5.10309561633368,3.34142067493077e-07,9.89696980860448e-06,9.89696980860448e-06
"22","mmu-miR-224-5p",1947.46757834059,1.76388384338337,0.353945847863888,4.98348505577521,6.24491390084346e-07,1.76560747560211e-05,1.76560747560211e-05
"23","mmu-miR-434-5p",3353.19747969033,2.0250926085845,0.410927708085129,4.92809944119169,8.30333563203991e-07,2.24551076657775e-05,2.24551076657775e-05
"24","mmu-miR-872-5p",3141.51180583063,0.795820351177695,0.16241496893374,4.89991997906524,9.58756965553541e-07,2.48477846905959e-05,2.48477846905959e-05
"25","mmu-miR-127-5p",353.487868948725,1.7541019062389,0.359287734257347,4.88216473591745,1.04927539447664e-06,2.53454918797121e-05,2.53454918797121e-05
"26","mmu-miR-3470b",385.749019536224,-2.43810701677151,0.499585421662774,-4.88026053413796,1.05945785992366e-06,2.53454918797121e-05,2.53454918797121e-05
"27","mmu-miR-381-3p",3293.31007713141,1.86152402091882,0.383383230536835,4.85551759348528,1.20072692457242e-06,2.67379123656676e-05,2.67379123656676e-05
"28","mmu-miR-451a",25140.3933423333,-0.979646458589589,0.201779355011018,-4.85503811099056,1.20363592642877e-06,2.67379123656676e-05,2.67379123656676e-05
"29","mmu-miR-182-5p",1238.3904327414,1.90977708164395,0.394148722722049,4.84532099572656,1.2640713708266e-06,2.71121514708327e-05,2.71121514708327e-05
"30","mmu-miR-541-5p",8251.19760659841,2.0165668169462,0.417252018506543,4.8329707886472,1.34510530577943e-06,2.78885166731601e-05,2.78885166731601e-05
"31","mmu-miR-487b-3p",78.1116389700551,1.73625326117573,0.359778837703601,4.82589046164555,1.39379102978218e-06,2.7965742597565e-05,2.7965742597565e-05
"32","mmu-miR-133b-3p",17883.0968254884,-1.67970957411882,0.352094971688675,-4.77061505895071,1.83664237369952e-06,3.35997516600324e-05,3.35997516600324e-05
"33","mmu-miR-3966",13.24188796885,1.57887484805517,0.330339973384569,4.77954524206825,1.75692135089822e-06,3.35997516600324e-05,3.35997516600324e-05
"34","mmu-miR-431-3p",24.6403665799341,1.90211133161035,0.398644874804731,4.77144308588455,1.82910667898799e-06,3.35997516600324e-05,3.35997516600324e-05
"35","mmu-miR-679-5p",59.6659930635358,2.86033164938551,0.604578641492725,4.73111594270558,2.23288937363124e-06,3.96816340113894e-05,3.96816340113894e-05
"36","mmu-miR-1195",35.2526640862832,-3.28985016296738,0.702811355838384,-4.68098606494899,2.85498347582585e-06,4.8409628561797e-05,4.8409628561797e-05
"37","mmu-miR-139-5p",3164.33177251021,-1.67421414134262,0.358216496157954,-4.67374942053028,2.95750142338952e-06,4.8409628561797e-05,4.8409628561797e-05
"38","mmu-miR-223-3p",19053.7360630861,-1.97406747327976,0.422043433625449,-4.67740359403789,2.90530087944607e-06,4.8409628561797e-05,4.8409628561797e-05
"39","mmu-miR-411-5p",25719.5694315019,1.70150746873741,0.365550740347926,4.65464101404347,3.2454565891383e-06,5.17608717549749e-05,5.17608717549749e-05
"40","mmu-miR-496a-3p",47.0256154989101,2.3039281160853,0.495863877306647,4.64629149556003,3.37955377404917e-06,5.25520611864647e-05,5.25520611864647e-05
"41","mmu-miR-298-5p",998.239805429902,1.42842079009221,0.308754092989058,4.62640276688681,3.72071418937204e-06,5.64459567265709e-05,5.64459567265709e-05
"42","mmu-miR-379-3p",223.029025533975,1.96638555760349,0.425656572015461,4.61965275971839,3.84382792369873e-06,5.69252611557288e-05,5.69252611557288e-05
"43","mmu-miR-377-3p",29.972043830189,2.00490918986219,0.435989050812239,4.59853105514251,4.2548029831561e-06,6.15462198958859e-05,6.15462198958859e-05
"44","mmu-miR-1193-3p",74.9276725114705,2.11842127127486,0.463331616644588,4.5721491803566,4.82747036940371e-06,6.67263682170913e-05,6.67263682170913e-05
"45","mmu-miR-666-3p",58.0201680525331,1.52129729906605,0.332725542124552,4.57222877856662,4.82563636916323e-06,6.67263682170913e-05,6.67263682170913e-05
"46","mmu-miR-134-5p",508.124822660932,1.80196003112929,0.395127888066344,4.56044760583118,5.10446977441898e-06,6.90213086888827e-05,6.90213086888827e-05
"47","mmu-miR-6538",297.764005546806,-3.01110764404921,0.664254609001756,-4.53306247821798,5.81346104488349e-06,7.69355908493091e-05,7.69355908493091e-05
"48","mmu-miR-3470a",197.27779234362,-2.27059072807979,0.502566105177613,-4.51799415974808,6.24282057553411e-06,8.08965499579629e-05,8.08965499579629e-05
"49","mmu-miR-378b",6501.24087903467,-1.92645658030666,0.428943833014111,-4.49116278644174,7.08353835814486e-06,8.99175685462471e-05,8.99175685462471e-05
"50","mmu-miR-486a-5p",2410992.87543142,-1.42950164985343,0.319410666010655,-4.47543492428567,7.62559231205872e-06,9.30023219235397e-05,9.30023219235397e-05
"51","mmu-miR-486b-5p",2410992.87543142,-1.42950164985343,0.319410666010655,-4.47543492428567,7.62559231205872e-06,9.30023219235397e-05,9.30023219235397e-05
"52","mmu-miR-26a-2-3p",122.768537241032,0.91517173206942,0.206212640216614,4.43800016870007,9.07985481158487e-06,0.0001045864757927,0.0001045864757927
