"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","p_val_fdr"
"1","mir-215-5p",914.428678752498,-0.682718183345984,0.0892820120088713,-7.64676073023699,2.0610531920082e-14,8.61520234259426e-12,1.36441721310943e-11
"2","mir-5119-3p",45.7253806516277,-4.81860756328252,0.804524768648445,-5.98938373442188,2.1063764628493e-09,4.40232680735503e-07,6.97210609203117e-07
"3","mir-31-5p",663.51797447353,0.593442802370438,0.100253086867554,5.91944668152158,3.23026538497608e-09,4.5008364364e-07,7.12811894951388e-07
"4","mir-298-5p",194.320954746729,1.04760488139812,0.180393394073835,5.80733505667801,6.34750324221671e-09,6.63314088811646e-07,1.05051178658687e-06
"5","mir-470-5p",27.2197365951597,1.83525306473541,0.337295959285626,5.441076343228,5.29596109125577e-08,4.42742347228983e-06,7.01185248482264e-06
"6","mir-1983-3p",103.566317385549,-0.957953193617881,0.192619434922962,-4.97329458993073,6.582451583403e-07,4.58577460310409e-05,7.26263824702131e-05
"7","mir-125b-2-3p",6094.73047123414,0.299954958602509,0.0684723532781971,4.38067255237773,1.18313556582841e-05,0.00070650095216611,0.00111890820654059
"8","mir-7688-5p",64.8589538458453,0.94350154693551,0.222804536918923,4.2346603888001,2.28897366403692e-05,0.00119598873945929,0.00189412570699055
"9","mir-499-5p",406.309180014156,0.392663657139766,0.0955336932782167,4.11021121099376,3.95297378490485e-05,0.00183593671343359,0.00290763182845223
"10","mir-881-3p",7.61045365761079,2.14897100819724,0.529922728483394,4.05525351657866,5.00799570232077e-05,0.00209334220357008,0.00331529315493635
"11","mir-871-5p",3.95104367410887,4.06767745344624,1.0362618949363,3.92533728522006,8.66082981836247e-05,0.00329111533097774,0.0052122448543236
"12","mir-871-3p",48.8419392121192,1.62640087059209,0.419770532087621,3.87449986663809,0.000106843901865428,0.0037217292483124,0.0058942219195761
"13","mir-210-5p",142.956095701847,0.412289193825652,0.114251210616664,3.60861991396279,0.00030783022190519,0.00989792559664382,0.0156756620693259
