"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"mir-101b-3p",-0.0861347811466651,12.0630863757488,-0.752923531732874,0.464215027461517,0.79650823032254,-7.69207093021253
"mir-3068-3p",0.046849338544769,9.47714924810114,0.57077449117923,0.577378517108675,0.83833972897405,-7.70725185735477
"mir-99a-3p",0.0433934526419169,9.11344555263412,0.467464820380953,0.647502522957039,0.871045060644588,-7.72427183760696
"mir-1843a-5p",-0.0675332083407358,11.2911265754279,-0.652223551758177,0.525029995647818,0.819705341070454,-7.73098037602293
"mir-92a-1-3p",0.0578316002183374,10.6324253657682,0.598178362714791,0.559462995475425,0.837341966738053,-7.74494346614676
"mir-181c-3p",0.0527943319122404,11.6957705242162,0.641300482824829,0.531890953958493,0.819705341070454,-7.75451650970648
"mir-133a-1-5p",-0.0328519831026153,8.84686322686805,-0.290400438084574,0.775851341518323,0.920481472797323,-7.75869679512989
"mir-133a-2-5p",-0.0359227707135883,8.84449498043092,-0.282413747140421,0.781840269387811,0.920481472797323,-7.76077226266933
"mir-1839-5p",-0.056606789262565,10.7486954954382,-0.522521480619526,0.609638420545538,0.845265540142893,-7.79234030099015
"let-7c-2-3p",0.0501247343541795,10.8035674024647,0.51116686192325,0.617357633629599,0.850748934148106,-7.80010315979211
"mir-676-5p",0.0366108461002295,9.500148601507,0.374518804541057,0.713741179745022,0.920481472797323,-7.80709956263265
"mir-378b-3p",-0.0300943308334016,10.0410240801668,-0.412390219660358,0.686422316886445,0.896592777112572,-7.82495985496127
"let-7a-1-3p",0.0446102353925077,10.8078531828062,0.461180152967269,0.651892698304218,0.871761833235227,-7.82581538788884
"mir-3968-3p",-0.031936188161735,9.4726379711738,-0.296007786523298,0.771655412938653,0.920481472797323,-7.8327411345408
"mir-345-5p",0.0443698084719362,10.4736849056248,0.406981737467051,0.690297093883131,0.896592777112572,-7.8417729124146
"mir-5099-3p",0.0304261603537341,9.74643256742544,0.267246752057435,0.793252850086019,0.920481472797323,-7.86268170269074
"mir-152-5p",0.0209574993215238,9.87108256803689,0.230512158522557,0.821094174325691,0.923220315410976,-7.87958490265049
"mir-146a-5p",-0.0543072997564984,11.9651364391595,-0.409371894778827,0.688583601245341,0.896592777112572,-7.89482542226398
"mir-144-5p",-0.0437084931056511,11.529698701032,-0.356411566782914,0.726951628823031,0.920481472797323,-7.89719337136387
"mir-541-5p",0.00422653038342347,9.79641386273137,0.0447365340974213,0.96496165972361,0.980242824704671,-7.90280177550127
"mir-582-3p",0.122929171824138,10.8797454691314,0.190925496372605,0.851379282033572,0.935188231453138,-7.92154656627664
"let-7c-2-5p",0.011397226612992,10.9317989422197,0.0859233037901359,0.932768218054931,0.960829810523749,-7.9385959959855
"mir-155-5p",-0.0167799289493811,11.4306420682311,-0.202581590962524,0.842434264847908,0.935188231453138,-7.93899577115882
"mir-497a-5p",0.013411920877596,11.334332326018,0.137534363982816,0.892605639714289,0.942658292408548,-7.946938828718
"mir-378d-5p",-0.0569646677358797,16.2748658196405,-0.984095884589842,0.342098783212403,0.75062451462139,-7.95083363503909
"mir-322-3p",-0.0188736928050428,12.1480370691892,-0.240396085938543,0.813576648258865,0.920481472797323,-7.96437172317476
"mir-92a-2-3p",0.0416625664214347,12.4575218389799,0.317912340984732,0.755336677092423,0.920481472797323,-7.96571802354441
"mir-151-3p",-0.0245582351325062,16.2304378570571,-0.538889463614939,0.598595665487194,0.838719706671702,-8.29313889742643
